Title: Observations of the Naked-Eye GRB 080319B: Implications of Nature's 
       Brightest Explosion  
Authors: Bloom J.S., Perley D.A., Li W., Butler N.R., Miller A.A., Kocevski D.,
         Kann D.A., Foley R.J., Chen H.-W., Filippenko A.V., Starr D.L., 
         Macomber .B., Prochaska J.X., Chornock R., Poznanski D., Klose S., 
         Skrutskie M.F., Lopez S., Hall P., Glazebrook K., Blake C.H. 
Table: PAIRITEL Observations of GRB 080319B
================================================================================
Byte-by-byte Description of file: apj292633t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  7 F7.1   s       Tmid   Exposure mid-time (1)
   9- 12 A4     ---     Filt   Filter used in observation
  14- 19 F6.1   s       Exp    Exposure time  
  21- 26 F6.3   mag     mag    Observed magnitude in Filt (2)
  28- 32 F5.3   mag   e_mag    Uncertainty in mag
  34- 41 F8.1   uJy     Flux   Observed flux density in Filt (2)
  43- 48 F6.1   uJy   e_Flux   Uncertainty in Flux 
  50- 50 A1     ---     Flag   [X] Indicates data not used in modeling
--------------------------------------------------------------------------------
Note (1): Measured from the Swift trigger (UTC 06:12:49).
Note (2): Not corrected for Galactic extinction.
--------------------------------------------------------------------------------
  344.0 J       7.8 10.389 0.048 111255.0 4815.5  
  352.3 J       7.8 10.483 0.048 102084.5 4419.0  
  360.2 J       7.8 10.563 0.048  94763.2 4102.4  
  380.1 J       7.8 10.652 0.048  87313.1 3779.8  
  388.4 J       7.8 10.722 0.048  81846.4 3544.3  
  396.3 J       7.8 10.781 0.048  77538.9 3357.8  
  416.3 J       7.8 10.877 0.048  70983.9 3074.6  
  424.5 J       7.8 10.896 0.048  69752.5 3021.6  
  432.4 J       7.8 10.952 0.048  66227.7 2868.9  
  452.4 J       7.8 11.000 0.048  63381.1 2745.9  
  460.7 J       7.8 11.082 0.048  58776.0 2546.7  
  468.6 J       7.8 11.137 0.048  55862.4 2420.8  
  488.6 J       7.8 11.266 0.048  49636.3 2151.9  
  496.9 J       7.8 11.244 0.048  50633.7 2195.1  
  504.8 J       7.8 11.314 0.048  47485.4 2059.2  
  525.8 J       7.8 11.432 0.048  42575.5 1846.9  
  534.1 J       7.8 11.447 0.048  41991.4 1821.5  
  542.0 J       7.8 11.471 0.048  41073.3 1781.4  
  561.9 J       7.8 11.589 0.048  36863.8 1599.6  
  570.2 J       7.8 11.598 0.048  36535.9 1585.4  
  578.2 J       7.8 11.602 0.048  36391.5 1579.1  
  598.2 J       7.8 11.671 0.048  34160.1 1483.1  
  606.4 J       7.8 11.694 0.048  33441.0 1452.1  
  614.4 J       7.8 11.714 0.048  32827.6 1425.8  
  634.4 J       7.8 11.675 0.048  34053.3 1478.4  
  650.6 J       7.8 11.749 0.048  31786.3 1380.5  
  670.6 J       7.8 11.950 0.048  26424.1 1148.8  
  678.9 J       7.8 11.931 0.048  26902.9 1170.4  
  686.8 J       7.8 11.978 0.048  25749.0 1119.9  
  706.8 J       7.8 11.943 0.048  26585.2 1155.8  
  715.0 J       7.8 11.990 0.048  25473.0 1107.9  
  723.0 J       7.8 11.979 0.048  25734.7 1119.3  
  743.0 J       7.8 12.104 0.048  22940.3  998.4  
  751.3 J       7.8 12.121 0.048  22573.5  982.7  
  759.2 J       7.8 12.146 0.048  22069.9  961.0  
  779.3 J       7.8 12.166 0.048  21657.1  943.5  
  787.5 J       7.8 12.135 0.048  22282.3  970.5  
  795.5 J       7.8 12.172 0.048  21531.8  938.2  
  815.5 J       7.8 12.257 0.048  19919.6  870.1  
  823.8 J       7.8 12.277 0.048  19547.0  852.6  
  831.7 J       7.8 12.249 0.048  20066.9  874.7  
  851.7 J       7.8 12.345 0.048  18363.7  801.7  
  860.0 J       7.8 12.363 0.048  18058.4  788.8  
  867.9 J       7.8 12.384 0.048  17719.0  774.0  
  888.0 J       7.8 12.394 0.048  17548.5  766.5  
  896.2 J       7.8 12.465 0.049  16451.3  719.2  
  904.1 J       7.8 12.449 0.049  16683.2  729.2  
  924.1 J       7.8 12.502 0.049  15886.9  696.1  
  932.4 J       7.8 12.500 0.049  15920.6  697.4  
  940.3 J       7.8 12.500 0.049  15929.4  697.5  
  960.3 J       7.8 12.616 0.049  14310.0  628.1  
  968.5 J       7.8 12.575 0.049  14866.2  652.0  
  976.5 J       7.8 12.541 0.049  15327.8  671.2  
  996.5 J       7.8 12.655 0.049  13798.7  606.3  
 1004.8 J       7.8 12.665 0.049  13674.8  601.5  
 1012.7 J       7.8 12.673 0.049  13574.4  597.1  
 1032.7 J       7.8 12.758 0.049  12552.2  552.9  
 1041.0 J       7.8 12.854 0.049  11491.0  506.8  
 1049.0 J       7.8 12.823 0.049  11823.9  522.1  
 1069.0 J       7.8 12.905 0.049  10969.8  485.8  
 1077.2 J       7.8 12.868 0.049  11343.8  502.8  
 1085.2 J       7.8 12.853 0.049  11500.6  507.8  
 1105.2 J       7.8 12.922 0.049  10793.4  479.0  
 1113.5 J       7.8 12.938 0.049  10633.6  472.6  
 1121.4 J       7.8 12.929 0.049  10726.1  475.6  
 1141.4 J       7.8 13.035 0.050   9731.9  437.5  
 1149.7 J       7.8 13.048 0.050   9609.0  429.3  
 1157.6 J       7.8 13.041 0.049   9677.4  430.5  
 1177.6 J       7.8 12.998 0.049  10067.5  446.8  
 1185.8 J       7.8 13.036 0.049   9714.9  431.2  
 1193.8 J       7.8 13.094 0.050   9216.4  412.6  
 1221.5 J      23.5 13.101 0.035   9150.4  287.9  
