-----------------------------------------------------------------------------------------------------

OPTICAL/UV/NIR DATA
      Time        Exposure(s)  Mag        Magerr        Filter   Telescope
      1480.60      9.00000     14.41     0.01           white     UVOT
      1642.60      9.00000     14.76     0.02           white     UVOT
      5433.60      199.000     16.41     0.01           white     UVOT
      6851.10      160.000     16.72     0.02           white     UVOT
      694172.      68693.0     22.71     +0.16,-0.14    white     UVOT
      766635.      76187.0     23.17     +0.24,-0.20    white     UVOT
      850694.      82190.0     23.74     +0.36,-0.27    white     UVOT
  1.36166e+06      271755.     24.36     +0.38,-0.28    white     UVOT
  1.66306e+06      331007.     25.21     +0.75,-0.44    white     UVOT
  2.03034e+06      394158.     24.64     +0.43,-0.31    white     UVOT
  2.49044e+06      493662.     24.74     +0.35,-0.26    white     UVOT
  2.78312e+06      81214.0     24.23     +0.46,-0.32    white     UVOT
      355.900      10.0000     11.99     +0.22,-0.18    v         UVOT
      365.900      10.0000     12.13     +0.15,-0.13    v         UVOT
      375.900      10.0000     12.12     +0.15,-0.13    v         UVOT
      385.900      10.0000     12.18     +0.14,-0.12    v         UVOT
      395.900      10.0000     12.30     +0.12,-0.11    v         UVOT
      405.900      10.0000     12.31     +0.12,-0.11    v         UVOT
      415.900      10.0000     12.43     +0.11,-0.10    v         UVOT
      425.900      10.0000     12.43     +0.11,-0.10    v         UVOT
      435.900      10.0000     12.56     +0.10,-0.09    v         UVOT
      445.900      10.0000     12.55     +0.10,-0.09    v         UVOT
      455.900      10.0000     12.56     +0.10,-0.09    v         UVOT
      465.900      10.0000     12.58     +0.10,-0.09    v         UVOT
      475.900      10.0000     12.66     +0.09,-0.08    v         UVOT
      485.900      10.0000     12.67     +0.09,-0.08    v         UVOT
      493.400      5.00000     12.71     +0.13,-0.11    v         UVOT
      500.900      10.0000     12.77     +0.09,-0.08    v         UVOT
      510.900      10.0000     12.80     +0.09,-0.08    v         UVOT
      520.900      10.0000     12.87     0.08           v         UVOT
      530.900      10.0000     12.93     0.08           v         UVOT
      540.900      10.0000     12.94     0.08           v         UVOT
      550.900      10.0000     12.94     0.08           v         UVOT
      560.900      10.0000     13.01     +0.08,-0.07    v         UVOT
      570.300      8.60000     13.00     +0.09,-0.08    v         UVOT
      710.900      10.0000     13.40     +0.10,-0.09    v         UVOT
      720.900      10.0000     13.45     +0.08,-0.07    v         UVOT
      727.700      3.40000     13.41     +0.13,-0.12    v         UVOT
      975.900      10.0000     13.95     +0.10,-0.09    v         UVOT
