2008 Mar 19.4616		0.2027	1200		none 	>15.5			0.22mSR-22
2008 Mar 19.7642		0.5052	600			R		19.07	0.19	0.7mAZT-8
2008 Mar 19.7721		0.5132	600			R		19.26	0.27	0.7mAZT-8
2008 Mar 19.7800		0.5211	600			R		19.74	0.50	0.7mAZT-8
2008 Mar 19.7911		0.5322	600			R		19.96	0.39	0.7mAZT-8
2008 Mar 19.7974		0.5385	600			R		19.60	0.34	0.7mAZT-8
2008 Mar 19.8055		0.5466	900			R		19.60	0.20	0.7mAZT-8
2008 Mar 19.8174		0.5585	900			R		19.40	0.15	0.7mAZT-8
2008 Mar 19.8285		0.5696	900			R		19.89	0.28	0.7mAZT-8
2008 Mar 19.8470		0.5881	900			R		19.82	0.23	0.7mAZT-8
2008 Mar 19.8557		0.5968	900			R		20.06	0.19	0.7mAZT-8
2008 Mar 19.8630		0.6041	900			R		19.88	0.23	0.7mAZT-8
2008 Mar 19.8888		0.6299	720			R		20.00	0.27	0.7mAZT-8
2008 Mar 19.8980		0.6391	720			R		19.52	0.16	0.7mAZT-8
2008 Mar 19.9071		0.6482	720			R		20.09	0.28	0.7mAZT-8
2008 Mar 19.9139		0.6550	720			R		19.80	0.24	0.7mAZT-8
2008 Mar 19.9234		0.6645	900			R		19.88	0.27	0.7mAZT-8
2008 Mar 19.9354		0.6765	900			R		20.19	0.40	0.7mAZT-8
2008 Mar 19.9497		0.6908	900			R		19.54	0.15	0.7mAZT-8
2008 Mar 19.9625		0.7036	900			R		20.16	0.44	0.7mAZT-8
2008 Mar 19.9752		0.7163	720			R		20.47	0.25	0.7mAZT-8
2008 Mar 19.9843		0.7254	960			R		20.00	0.37	0.7mAZT-8
2008 Mar 19.9959		0.7370	900			R		20.03	0.37	0.7mAZT-8
2008 Mar 20.0127		0.7538	720			R		20.01	0.22	0.7mAZT-8
2008 Mar 20.0196		0.7607	720			R		19.83	0.21	0.7mAZT-8
2008 Mar 20.0664		0.8075	720			R		19.94	0.23	0.7mAZT-8
2008 Mar 20.0755		0.8166	720			R		20.22	0.26	0.7mAZT-8
2008 Mar 20.0848		0.8259	900			R		20.28	0.24	0.7mAZT-8
2008 Mar 20.0959		0.8370	900			R		19.74	0.16	0.7mAZT-8
2008 Mar 20.1069		0.8480	600			R		19.56	0.20	0.7mAZT-8
2008 Mar 19.8319		0.5730	600			V		19.60	0.70	0.7mAZT-8
2008 Mar 20.0870		0.8351	1200		I		19.57	0.08	0.8mIAC80
2008 Mar 19.9924		0.7457	4×300		R		19.82	0.07	0.8mIAC80
2008 Mar 20.0557		0.8003	600			R		19.94	0.11	0.8mIAC80
2008 Mar 20.1067		0.8548	2×600		R		20.15	0.08	0.8mIAC80
2008 Mar 20.1294		0.8778	2×600		R		20.14	0.09	0.8mIAC80
2008 Mar 20.2454		0.9972	3×600		R		20.50	0.08	0.8mIAC80
2008 Mar 22.0730		2.8355	6×600		R		22.03	0.27	0.8mIAC80
2008 Mar 20.0252		0.7814	(1200+600)	V		20.39	0.10	0.8mIAC80
2008 Mar 20.0648		0.8165	3×600		B		20.89	0.12	0.8mIAC80
2008 Mar 20.1703		0.9149	600			B		20.75	0.20	0.8mIAC80
2008 Mar 19.9361		0.6985	120			r		19.56	0.17	1.2mMercator
2008 Mar 19.9613		0.7031	120			r		19.28	0.19	1.2mMercator
2008 Mar 19.9631		0.7049	120			r		19.74	0.15	1.2mMercator
