#######################################################
# GRB	    OPENING					VIEWING / OPENING
#######################################################
GRB050126	0.377 +0.08600 -0.1200	0.43 +0.51 -0.31000	
GRB050315	0.343 +0.03800 -0.0350	0.176 +0.081 -0.099	
GRB050318	0.145 +0.09700 -0.0730	0.338 +0.214 -0.089	
GRB050319	0.0469 +0.0052 -0.0014	0.627 +0.054 -0.065	
GRB050401	0.458 +0.03200 -0.0690	0.71 +0.26 -0.50000	
GRB050408	0.290 +0.14000 -0.1600	0.54 +0.29 -0.36000	
GRB050416A	0.237 +0.11400 -0.0590	0.34 +0.24 -0.22000	
GRB050505	0.19 +0.110000 -0.1400	0.434 +0.073 -0.114	
GRB050525A	0.0551 +0.0069 -0.0062	0.579 +0.047 -0.052	
GRB050603	0.27 +0.160000 -0.1500	0.53 +0.30 -0.36000	
GRB050730	0.420 +0.05600 -0.1140	0.747 +0.039 -0.142	
GRB050802	0.29 +0.150000 -0.1500	0.55 +0.32 -0.38000	
GRB050820A	0.152 +0.05600 -0.0220	0.57 +0.13 -0.12000	
GRB050824	0.140 +0.22900 -0.0880	0.39 +0.30 -0.26000	
GRB050826	0.354 +0.09900 -0.1110	0.38 +0.28 -0.26000	
GRB050904	0.148 +0.27500 -0.0950	0.48 +0.20 -0.31000	
GRB050908	0.25 +0.140000 -0.1100	0.33 +0.28 -0.23000	
GRB050922C	0.074 +0.03300 -0.0110	0.673 +0.064 -0.075	
GRB051016B	0.34 +0.120000 -0.2400	0.60 +0.26 -0.20000	
GRB051022	0.21 +0.140000 -0.1300	0.14 +0.36 -0.11000	
GRB051109A	0.29 +0.140000 -0.1300	0.57 +0.31 -0.39000	
GRB051111	0.28 +0.150000 -0.1500	0.49 +0.34 -0.33000	
GRB051221A	0.448 +0.03100 -0.0380	0.449 +0.053 -0.058	
GRB060115	0.18 +0.200000 -0.1100	0.76 +0.16 -0.42000	
GRB060124	0.21 +0.200000 -0.1000	0.56 +0.29 -0.32000	
GRB060206	0.377 +0.08400 -0.1110	0.32 +0.32 -0.23000	
GRB060210	0.0604 +0.0236 -0.0093	0.735 +0.044 -0.117	
GRB060218	0.33 +0.120000 -0.1500	0.59 +0.27 -0.38000	
GRB060306	0.084 +0.18500 -0.0290	0.78 +0.13 -0.11000	
GRB060418	0.31 +0.130000 -0.1400	0.46 +0.37 -0.32000	
GRB060502A	0.32 +0.120000 -0.1300	0.45 +0.27 -0.30000	
GRB060512	0.27 +0.150000 -0.1200	0.55 +0.27 -0.35000	
GRB060522	0.326 +0.11300 -0.0910	0.38 +0.23 -0.24000	
GRB060526	0.0468 +0.0058 -0.0014	0.122 +0.448 -0.087	
GRB060604	0.059 +0.07100 -0.0110	0.779 +0.099 -0.082	
GRB060605	.04614 +.18939 -.00096	0.16 +0.740 -0.1100	
GRB060607A	0.374 +0.09500 -0.0720	0.593 +0.078 -0.098	
GRB060614	0.293 +0.12200 -0.0850	0.38 +0.430 -0.2200	
GRB060707	0.22 +0.190000 -0.1600	0.59 +0.28 -0.38000	
GRB060714	0.0557 +0.0104 -0.0072	0.743 +0.057 -0.050	
GRB060729	0.370 +0.04700 -0.0390	0.636 +0.030 -0.036	
GRB060801	0.0562 +0.0056 -0.0064	0.050 +0.055 -0.035	
GRB060814	0.360 +0.09800 -0.1230	0.36 +0.380 -0.2500	
GRB060904B	0.083 +0.04800 -0.0150	0.734 +0.103 -0.078	
GRB060906	0.0500 +0.0120 -0.0042	0.620 +0.080 -0.076	
GRB060908	0.384 +0.08200 -0.1140	0.38 +0.420 -0.2700	
GRB060912A	0.213 +0.12300 -0.0430	0.59 +0.190 -0.3600	
GRB060926	0.28 +0.150000 -0.1500	0.51 +0.330 -0.3500	
# Page 13 https://arxiv.org/pdf/1405.5516
GRB060927	0.31 +0.13 -0.15	0.51 +0.34 -0.35000
GRB061007	0.32 +0.13 -0.17	0.52 +0.29 -0.30000
GRB061021	0.133 +0.060 -0.021	0.56 +0.17 -0.14000
GRB061121	0.094 +0.118 -0.030	0.858 +0.079 -0.075
GRB061222A	.0695 +.0102 -.0053	0.580 +0.048 -0.034
GRB070110	0.33 +0.12 -0.15	0.43 +0.33 -0.29000
GRB070125	0.26 +0.12 -0.11	0.41 +0.23 -0.14000
GRB070208	0.28 +0.15 -0.15	0.54 +0.31 -0.36000
GRB070306	0.291 +0.030 -0.037	0.361 +0.044 -0.046
GRB070318	0.30 +0.11 -0.11	0.23 +0.39 -0.16000
GRB070411	0.33 +0.12 -0.16	0.58 +0.21 -0.38000
GRB070419A	0.18 +0.19 -0.11	0.65 +0.20 -0.32000
GRB070506	0.25 +0.17 -0.16	0.50 +0.31 -0.34000
GRB070508	0.449 +0.040 -0.081	0.768 +0.053 -0.616
GRB070521	0.145 +0.152 -0.075	0.42 +0.31 -0.18000
GRB070529	0.172 +0.152 -0.054	0.786 +0.087 -0.129
GRB070611	0.27 +0.15 -0.11	0.41 +0.36 -0.29000
GRB070714B	0.33 +0.11 -0.11	0.835 +0.059 -0.617
GRB070721B	0.081 +0.036 -0.027	0.125 +0.099 -0.085
GRB070724A	0.28 +0.15 -0.16	0.51 +0.34 -0.35000
GRB070802	0.477 +0.018 -0.039	0.31 +0.19 -0.19000
GRB070810A	0.104 +0.196 -0.049	0.76 +0.16 -0.29000
GRB071003	0.30 +0.14 -0.18	0.61 +0.25 -0.33000
GRB071010A	0.30 +0.13 -0.15	0.54 +0.31 -0.35000
GRB071010B	0.34 +0.12 -0.22	0.33 +0.37 -0.23000
GRB071020	0.213 +0.238 -0.026	0.872 +0.021 -0.405
GRB071031	0.32 +0.12 -0.14	0.41 +0.35 -0.27000
GRB071112C	0.394 +0.073 -0.117	0.79 +0.15 -0.66000
GRB071117	0.30 +0.14 -0.16	0.45 +0.32 -0.29000
GRB071122	0.25 +0.16 -0.16	0.53 +0.34 -0.35000
